map,energy,population_deviation,estimated_vote_pct,pr_deviation,pr_seats,pr_pct,estimated_seats,estimated_seat_pct,fptp_seats,disproportionality,efficiency_gap,gamma,seats_bias,votes_bias,geometric_seats_bias,global_symmetry,declination,mean_median_statewide,mean_median_average_district,turnout_bias,lopsided_outcomes,competitive_districts,competitive_district_pct,responsiveness,responsive_districts,responsive_district_pct,overall_responsiveness,avg_dem_win_pct,avg_rep_win_pct,opportunity_districts,proportional_opportunities,coalition_districts,proportional_coalitions,reock,polsby_popper,county_splitting,district_splitting,proportionality,competitiveness,minority,compactness,splitting
088_635,2504138.338625,0.016400,0.494300,0.045200,7,0.500000,6.366900,0.454800,6,0.039500,0.033800,0.028000,0.027300,0.008100,0.026800,0.007700,3.755800,0.023900,0.024600,-0.000700,0.003900,3.646900,0.260500,3.018700,3.646900,0.260500,7.908600,0.590800,0.577000,0.000000,5,7.618900,5,0.350000,0.150900,1.437100,2.557200,80,35,50,26,0
089_637,2389517.357807,0.018900,0.494300,0.036500,7,0.500000,6.489100,0.463500,6,0.030800,0.025100,0.016500,0.016400,0.004500,0.016100,0.007800,3.300000,0.008600,0.010400,-0.001800,0.004000,4.456700,0.318300,3.502200,4.456700,0.318300,6.382000,0.596500,0.579200,1.737600,5,7.327400,5,0.317300,0.151400,1.344400,2.360300,85,42,68,20,3
090_638,2208728.569240,0.019600,0.494300,0.053100,7,0.500000,6.256700,0.446900,6,0.047400,0.041700,0.031300,0.030300,0.007200,0.029700,0.006500,3.045700,0.012400,0.011400,0.001100,0.000200,4.872500,0.348000,3.817900,4.872500,0.348000,9.284000,0.575000,0.568100,0.000000,5,6.625700,5,0.345800,0.161600,1.408000,2.472000,76,46,50,26,0
091_639,3138947.002610,0.017400,0.494300,0.006400,7,0.500000,6.910500,0.493600,7,0.000700,-0.005000,-0.010800,-0.009100,-0.003400,-0.009000,-0.005600,-1.773900,-0.012800,-0.013200,0.000400,-0.010400,3.403800,0.243100,3.003900,3.403800,0.243100,1.118400,0.575100,0.587400,0.806900,5,6.888600,5,0.361100,0.184200,1.380700,2.499100,100,32,58,32,0
092_640,2214057.412743,0.018700,0.494300,0.037500,7,0.500000,6.475100,0.462500,6,0.031800,0.026100,0.021400,0.020500,0.006500,0.019900,0.005800,3.221800,0.018300,0.018600,-0.000400,0.002500,3.499200,0.249900,2.808600,3.499200,0.249900,6.556600,0.602900,0.586500,0.000000,5,6.731700,5,0.388700,0.171100,1.366800,2.359100,84,33,50,36,0
093_641,1914718.238579,0.018000,0.494300,-0.001800,7,0.500000,7.025400,0.501800,8,-0.007500,-0.013300,-0.021700,-0.021300,-0.006200,-0.021400,-0.007200,-2.840600,-0.009000,-0.009600,0.000500,-0.013000,4.460700,0.318600,3.478000,4.460700,0.318600,-0.317400,0.566600,0.603300,0.000000,5,8.400300,5,0.351200,0.177400,1.340600,2.350700,99,42,50,30,4
094_642,2144943.475355,0.016600,0.494300,0.082300,7,0.500000,5.848400,0.417700,6,0.076500,0.070800,0.060300,0.059600,0.014100,0.059100,0.020000,7.767700,0.021900,0.021500,0.000400,0.011900,4.978200,0.355600,3.840200,4.978200,0.355600,14.384500,0.585200,0.574600,0.000000,5,6.587800,5,0.357500,0.161000,1.414500,2.499800,62,47,50,29,0
095_646,2969158.007251,0.019300,0.494300,0.077500,7,0.500000,5.914700,0.422500,5,0.071800,0.066100,0.059000,0.057400,0.014500,0.056700,0.015000,7.790000,0.022500,0.022200,0.000300,0.012300,4.198500,0.299900,3.236100,4.198500,0.299900,13.557100,0.608300,0.569500,0.000000,5,7.358500,5,0.326000,0.145300,1.376400,2.436800,64,40,50,20,0
096_648,2542415.798326,0.018700,0.494300,0.074600,7,0.500000,5.955400,0.425400,6,0.068900,0.063200,0.057600,0.057700,0.018100,0.057400,0.022000,8.235900,0.022700,0.022100,0.000600,0.013600,3.726700,0.266200,2.983400,3.726700,0.266200,13.047600,0.599700,0.585900,0.714100,5,6.869700,5,0.343500,0.155800,1.398600,2.476700,66,35,57,26,0
097_650,2510281.568086,0.017400,0.494300,0.049600,7,0.500000,6.305800,0.450400,5,0.043900,0.038200,0.031300,0.029200,0.007500,0.028300,0.006900,3.984200,0.017200,0.017900,-0.000700,0.004300,4.193800,0.299600,3.199500,4.193800,0.299600,8.671900,0.602100,0.564500,0.000000,5,7.566200,5,0.353500,0.149900,1.400100,2.509300,78,40,50,26,0
098_652,2746158.378038,0.018000,0.494300,0.090700,7,0.500000,5.730700,0.409300,4,0.084900,0.079200,0.059100,0.057500,0.009500,0.056900,0.016000,5.950200,0.000500,-0.000000,0.000500,0.007000,7.493200,0.535200,5.527000,7.493200,0.535200,15.855500,0.591500,0.545300,0.000000,5,9.154400,5,0.330800,0.147100,1.393900,2.434100,58,71,50,22,0
099_653,2076546.650779,0.018600,0.494300,0.086300,7,0.500000,5.792400,0.413700,5,0.080500,0.074800,0.067300,0.065500,0.015700,0.064600,0.016500,8.420600,0.028500,0.027700,0.000800,0.013100,4.252700,0.303800,3.307700,4.252700,0.303800,15.084500,0.603600,0.567700,0.000000,5,6.656900,5,0.412100,0.178200,1.378400,2.453700,60,41,50,42,0
