GEOID,DISTRICT
35055000011,12
35055000009,12
35055000039,12
35055000013,12
35055000033,12
35055000012,12
35055000041,12
35055000040,12
35055000014,12
35055000015,12
35055000016,12
35055000047,12
35055000043,12
35055000018,12
35007000009,12
35007000003,12
35055000035,12
35055000044,12
35055000021,12
35055000045,12
35055000019,12
35055000034,12
35055000038,12
35055000010,12
35055000037,12
35055000042,12
35055000006,12
35055000007,12
35055000005,12
35007000001,12
35007000008,12
35001000142,13
35001000145,13
35001000141,13
35001000146,13
35001000600,13
35001000052,13
35001000053,13
35001000140,13
35001000060,13
35001000054,13
35001000247,13
35001000058,13
35001000056,13
35001000041,13
35001000268,13
35001000269,13
35001000143,13
35061000011,14
35061000013,14
35001000552,14
35057000016,14
35001000551,14
35001000582,14
35001000579,14
35057000017,14
35001000571,14
35061000004,14
35061000018,14
35061000010,14
35061000009,14
35061000028,14
35061000050,14
35061000049,14
35061000015,14
35061000006,14
35061000022,14
35061000058,14
35061000036,14
35061000005,14
35061000056,14
35061000060,14
35057000004,14
35057000003,14
35057000010,14
35061000014,14
35061000061,14
35001000201,15
35001000085,15
35001000019,15
35001000177,15
35001000128,15
35001000080,15
35001000229,15
35001000606,15
35001000230,15
35001000087,15
35001000261,15
35001000068,15
35001000175,15
35001000069,15
35001000610,15
35001000174,15
35001000116,15
35001000002,15
35001000173,15
35001000248,15
35001000170,15
35001000176,15
35001000129,15
35009000033,16
35009000028,16
35009000026,16
35009000005,16
35009000022,16
35009000027,16
35009000042,16
35009000024,16
35009000035,16
35009000023,16
35009000040,16
35009000032,16
35009000021,16
35009000020,16
35009000041,16
35009000025,16
35009000013,16
35009000014,16
35009000015,16
35009000019,16
35009000038,16
35009000017,16
35009000018,16
35009000039,16
35009000012,16
35028000008,17
35028000001,17
35043000051,17
35049000012,17
35049000154,17
35049000014,17
35049000112,17
35049000081,17
35049000068,17
35049000088,17
35049000111,17
35049000129,17
35049000069,17
35049000071,17
35049000134,17
35049000107,17
35049000065,17
35049000114,17
35049000150,17
35049000113,17
35049000063,17
35049000094,17
35049000013,17
35049000110,17
35049000139,17
35043000007,17
35043000095,17
35043000009,17
35043000091,17
35028000018,17
35028000019,17
35028000015,17
35013000073,18
35013000113,18
35013000133,18
35013000066,18
35013000119,18
35013000134,18
35013000132,18
35013000118,18
35013000131,18
35013000105,18
35013000122,18
35013000117,18
35013000062,18
35013000061,18
35013000135,18
35013000125,18
35013000109,18
35013000065,18
35013000005,18
35013000121,18
35015000035,19
35015000015,19
35015000016,19
35015000023,19
35015000021,19
35015000014,19
35015000025,19
35015000020,19
35015000019,19
35015000009,19
35015000011,19
35015000013,19
35015000034,19
35015000010,19
35015000044,19
35015000052,19
35015000050,19
35015000051,19
35015000012,19
35015000026,19
35015000017,19
35013000021,20
35013000146,20
35013000038,20
35013000145,20
35013000022,20
35013000090,20
35013000088,20
35013000087,20
35013000147,20
35013000037,20
35013000035,20
35013000033,20
35013000028,20
35013000034,20
35013000032,20
35013000092,20
35013000029,20
35013000136,20
35013000089,20
35013000026,20
35013000027,20
35013000031,20
35013000025,20
35013000030,20
35013000023,20
35013000107,20
35049000027,21
35049000026,21
35049000025,21
35049000021,21
35049000095,21
35049000122,21
35049000123,21
35049000030,21
35049000127,21
35049000022,21
35049000011,21
35049000092,21
35049000080,21
35049000145,21
35049000140,21
35049000089,21
35049000149,21
35049000151,21
35049000093,21
35049000031,21
35049000098,21
35049000034,21
35049000136,21
35049000033,21
35049000032,21
35049000024,21
35049000130,21
35049000020,21
35049000121,21
35049000132,22
35049000104,22
35049000047,22
35049000046,22
35049000036,22
35049000045,22
35049000044,22
35049000043,22
35049000101,22
35049000052,22
35049000124,22
35049000035,22
35049000041,22
35049000097,22
35049000042,22
35049000051,22
35049000076,22
35049000050,22
35049000096,22
35049000143,22
35049000105,22
35049000133,22
35049000056,22
35049000144,22
35049000070,22
35049000102,22
35049000053,22
35049000037,22
35049000054,22
35049000103,22
35049000029,22
35049000077,22
35049000117,22
35047000015,23
35021000001,23
35021000003,23
35021000002,23
35007000005,23
35059000004,23
35059000001,23
35059000008,23
35059000009,23
35059000007,23
35059000006,23
35037000005,23
35037000006,23
